order_id,customer_id,email_snapshot,order_date,status,payment_method,declared_total,currency,source_system,ingested_at,billing_address,shipping_address,promo_code,session_id,ip_address,raw_status_code,user_agent
ORD-71ceb061-fe9d-4e94-9136-9d0c1a604146,CUST-7bc217f7-a0b8-4497-bb50-7982ca304721,ojohnson@example.com,2026-01-12,cancelled,bank_transfer,1485.08,USD,pos,2026-04-28T11:21:28.453700Z,"75775 Garcia Forks Suite 923, North Grace, KY 38017","331 Mckenzie Light Apt. 518, Matthewbury, DE 22527",,ae22ec1b-dd6f-4b5c-a07e-83aa8ce6c8df,145.111.238.248,ORD_005,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; gez-ER) AppleWebKit/533.21.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B115 Safari/6533.21.3"
ORD-7d09123a-1d86-42ba-bbd7-d44accca14c1,CUST-10589ac5-e8b8-441e-b8b0-2f0df997e803,craig56@example.org,2026-04-26,shipped,debit_card,1785.23,USD,web,2026-04-28T11:21:28.453879Z,"575 Ashley Estates Apt. 169, Kellyville, DE 96901","91057 Erin Island, Carneyberg, VA 85489",,0d35d6b3-52b8-4d81-969e-b4cc51d094fa,85.221.121.34,ORD_001,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/4663-08-01 18:30:09.291855 Firefox/14.0
ORD-6e3c9220-e246-4cf5-80dd-d75eb85f0514,CUST-dc2a24b7-0a18-46d4-9a32-d9934cdedaaf,richard63@example.com,2025-08-15,delivered,bank_transfer,2015.99,USD,mobile_ios,2026-04-28T11:21:28.454176Z,"88215 Douglas Rapids, Sarahville, AR 65280","24110 Knight Light, New Alexandratown, MO 35228",PROMO-8679,1295de9a-e2d3-4419-8ffb-55b183840be0,135.243.140.248,ORD_003,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/5683-08-24 13:05:38.366104 Firefox/3.6.10
ORD-51216943-864b-47bc-847f-bf7045171e8d,CUST-e8a67f02-595b-46f3-900a-7d707f6b939c,tonya40@example.com,2024-08-09,shipped,gift_card,2766.07,USD,web,2026-04-28T11:21:28.454485Z,"69975 Stephanie Summit, Humphreyside, AR 18243","444 Chavez Lights Suite 768, Walkerside, OH 21241",,d70c7b47-ebe2-4558-8fe9-75ed2ef11aae,47.1.80.46,ORD_002,Opera/9.14.(Windows NT 6.2; yi-US) Presto/2.9.167 Version/10.00
ORD-a7e345a4-5a93-40de-9e37-10e1a43b3afa,CUST-bc1410cb-72da-4419-94b9-7571d74acfbc,kellyduran@example.com,2025-03-23,shipped,bank_transfer,432.54,USD,web,2026-04-28T11:21:28.454959Z,"4206 Patricia Lane Suite 010, Ellisbury, NC 79217","3705 Ronnie Tunnel Apt. 525, Melissafurt, AK 52899",,3c8542c9-b007-4f0d-90ae-86afa2c4237c,121.240.81.31,ORD_005,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) CriOS/25.0.835.0 Mobile/04K652 Safari/534.2"
ORD-9a177b81-66aa-477e-b1c1-5026bd759568,CUST-aa0ef611-60cc-4075-ab1f-206dbbbe34e1,zhangmark@example.com,2024-08-03,delivered,gift_card,1941.75,USD,mobile_android,2026-04-28T11:21:28.455296Z,"465 Amanda Locks Suite 265, Davisview, MT 37761","1894 Dennis Lock Suite 456, Bowenmouth, MA 66325",,f931db60-77be-4852-9c3f-4d4e937162bb,199.32.178.189,ORD_003,Opera/8.46.(X11; Linux i686; ar-QA) Presto/2.9.168 Version/11.00
ORD-35e14f1e-2202-4c6a-b3a6-666be988da8c,CUST-80977aa0-bf98-42cc-a87d-570140141be1,kayla91@example.net,2025-02-02,cancelled,gift_card,276.38,USD,pos,2026-04-28T11:21:28.455594Z,"7247 Butler Light, Lake Heatherside, CO 26367","16742 Scott Flat Suite 735, Hansenbury, PW 61085",,f2d57a34-6ded-4c53-9bdc-e98e5b3255a2,50.118.209.175,ORD_005,Opera/9.15.(Windows CE; lg-UG) Presto/2.9.181 Version/12.00
ORD-a98425b1-1233-42da-8be2-f18fba387b05,CUST-e9ecc5d5-762d-448f-80d7-83f82b69248e,feliciaprice@example.org,2024-05-04,delivered,gift_card,260.06,USD,pos,2026-04-28T11:21:28.455852Z,"5357 Alex Expressway, New Michael, NH 43922","2083 Archer Crossing, Port Victorville, AR 08323",,4d23237a-aac8-49a5-8837-e18cb4f00e85,110.36.17.60,ORD_003,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_5 rv:2.0; de-AT) AppleWebKit/535.27.5 (KHTML, like Gecko) Version/5.1 Safari/535.27.5"
ORD-09146730-1e6a-4af6-9af1-710d8170075e,CUST-4361fce1-78f2-40a2-8910-cae4701701a5,wbaxter@example.net,2026-03-02,shipped,credit_card,585.02,USD,pos,2026-04-28T11:21:28.456129Z,"94329 Barry Isle Apt. 938, Lake Corey, DE 56227","14733 Robert Gateway Suite 811, Port Kelly, LA 25337",,d1e784d3-0d15-47ee-8881-3b421ffc632f,10.187.253.184,ORD_005,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_8) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/33.0.876.0 Safari/532.1"
ORD-d6acbb59-f85d-4af4-af00-b1970485abf2,CUST-17cd0611-27fe-4ce5-a436-e2ef9440383b,wrightstephen@example.com,2024-11-17,shipped,bank_transfer,1266.35,USD,pos,2026-04-28T11:21:28.456417Z,"7443 Ricardo Rue, Lake Heather, TN 70942","8987 Fuller Parks Apt. 679, Alexandriamouth, KS 90874",,7efef48f-052a-45c3-a51e-c00273c07066,45.143.192.136,ORD_004,Opera/8.46.(Windows NT 6.0; niu-NZ) Presto/2.9.182 Version/12.00
ORD-bccc6fd9-9bb7-4dc4-9ba1-44d8168cf61d,CUST-b1674889-d4b8-4707-b617-c62020d2e415,vsmith@example.com,2026-03-14,cancelled,paypal,923.32,USD,mobile_ios,2026-04-28T11:21:28.456578Z,"487 Nunez Wall, Brewerhaven, CO 10758","32321 Dunlap Unions, Harrisfort, MA 29864",,78cd21d1-da57-4866-92ab-8e9736e616af,22.128.60.30,ORD_005,"Mozilla/5.0 (Linux; Android 4.0.3) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/17.0.857.0 Safari/531.1"
ORD-ab07b224-7754-45c9-ac79-097d6a613dc7,CUST-f0631aa7-51f7-4798-88d6-7fd0244e11b6,mikereyes@example.com,2024-12-06,delivered,debit_card,167.01,USD,pos,2026-04-28T11:21:28.456861Z,"732 Andrew Falls Suite 720, Leeborough, CA 87308","7731 Tyler Hills, North Dawn, WY 82236",PROMO-3177,6961941e-64c0-4083-a62f-f96afe6ab6c5,73.204.96.236,ORD_004,Opera/9.89.(Windows NT 11.0; cv-RU) Presto/2.9.189 Version/10.00
ORD-f3410da6-cf6a-45db-abd7-c6c9de773913,CUST-3789d210-1f08-4f33-84f9-05055ff6295f,wcobb@example.com,2024-10-01,delivered,bank_transfer,844.25,USD,pos,2026-04-28T11:21:28.457116Z,"080 Jessica Terrace, Reeseborough, IN 64477","170 Caldwell Drives Suite 874, Ortegaburgh, CO 41018",,3f6ba4d3-dc83-4c70-a27f-38924827e956,168.33.90.252,ORD_002,Mozilla/5.0 (Windows NT 5.0; dv-MV; rv:1.9.1.20) Gecko/6733-03-16 22:19:45.036896 Firefox/3.8
ORD-9ed45176-e3a5-405a-be2c-3498c2fe83c2,CUST-416541f3-8272-4c52-a0f9-557425ec9b2e,samanthabutler@example.com,2025-04-19,pending,bank_transfer,69.29,USD,mobile_android,2026-04-28T11:21:28.457337Z,"2372 Kimberly Ferry Suite 222, Michellefurt, VI 54825","4729 Kent Coves Suite 789, New Kaitlin, NV 27704",,94ebb218-5785-4e41-9c8b-87ee8af9a04b,118.165.48.126,ORD_001,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_5 rv:3.0; st-ZA) AppleWebKit/534.34.5 (KHTML, like Gecko) Version/4.0 Safari/534.34.5"
ORD-4462423a-f85e-4594-a3f7-3996ac3c7e4c,CUST-b928af6e-50ef-42e0-a6ba-0896cde977be,andre41@example.org,2026-03-18,delivered,debit_card,693.14,USD,web,2026-04-28T11:21:28.457591Z,"9395 Robert Motorway Apt. 567, Mcknightstad, NV 83865","8234 Steven Freeway Apt. 148, New Amy, GU 28018",,c5f2c46a-c698-47ae-9da2-90201972017e,157.34.165.249,ORD_002,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; quz-PE) AppleWebKit/532.12.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6532.12.3"
ORD-66a8f9ba-4a2d-4ce0-b300-223e141d6c50,CUST-52221557-72e7-4703-b0a0-ef53612faf64,ortegajulia@example.net,2025-11-24,shipped,gift_card,429.38,USD,pos,2026-04-28T11:21:28.457888Z,"730 Stokes Turnpike, Danielleberg, NJ 65163","2546 Stone Pike, West Jennifer, DC 56767",,d50edf71-98fc-4c17-b8ef-24909e0dc0d5,163.121.248.58,ORD_005,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_5 rv:3.0; ve-ZA) AppleWebKit/533.34.2 (KHTML, like Gecko) Version/4.0 Safari/533.34.2"
ORD-88b7676d-37ef-470a-8de2-4d39b1ee6478,CUST-98dbd23f-b792-4709-9f19-f88aff0059bd,claytonlisa@example.org,2026-02-10,pending,bank_transfer,72.0,USD,mobile_android,2026-04-28T11:21:28.458069Z,"941 Stewart Turnpike, Meganshire, LA 55474","5096 Marie Cove, Garzachester, NV 03267",,cc2df0c8-7c06-43f7-8277-930ca982aa09,162.159.92.228,ORD_005,Opera/9.95.(X11; Linux i686; pa-PK) Presto/2.9.185 Version/10.00
ORD-d91429f5-3a3c-4e6f-868c-75ffbcbc5822,CUST-0a36084d-5830-4f98-a6eb-da3defe5802f,ubell@example.org,2024-11-24,delivered,credit_card,1887.69,USD,web,2026-04-28T11:21:28.458355Z,"88699 Denise Loaf Apt. 137, North Richard, ND 09360","Unit 1613 Box 1123, DPO AE 08212",,8b0c964a-ca22-4eff-adf0-703b46d68b6c,86.107.241.39,ORD_002,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_8; rv:1.9.5.20) Gecko/2828-02-03 20:42:46.741127 Firefox/12.0
ORD-747dd07d-c8be-4919-9407-27a9316c980f,CUST-400a210a-2b85-4bd0-bb8c-d363bf7183a4,mrios@example.org,2026-03-12,shipped,bank_transfer,4647.97,USD,pos,2026-04-28T11:21:28.458693Z,"2719 Long Crescent Apt. 706, Michaelberg, NH 84853","90359 Jessica Union, North Janethaven, HI 34577",,525f4d74-312d-426f-9de3-aaed17f3a612,211.129.82.105,ORD_005,Opera/8.40.(Windows NT 10.0; da-DK) Presto/2.9.178 Version/11.00
ORD-6899ac99-b5b1-48ee-b69b-e69696abe8a0,CUST-e43108ff-2231-4afb-bd71-2341fb49dcf1,steelechristine@example.net,2026-02-23,delivered,paypal,656.17,USD,web,2026-04-28T11:21:28.458894Z,"09388 Brian Loop, North Jenniferside, MI 01009","8652 Hood Burgs, Port Brentside, MD 96613",,1d7c2bc8-9cf9-4052-b61d-931040479cb9,150.99.206.180,ORD_004,Opera/8.45.(X11; Linux x86_64; byn-ER) Presto/2.9.190 Version/11.00
ORD-f2054fde-58f7-4d6d-82d4-a6cfb20177d2,CUST-2a824384-319c-4d10-99fb-5350f7411520,autumnblevins@example.com,2024-11-10,shipped,bank_transfer,16319.52,USD,web,2026-04-28T11:21:28.459171Z,"5567 Hart Fall Apt. 689, New Danielbury, OR 10585","214 Brooks Inlet Apt. 003, Thomasburgh, IN 26519",,4063caca-a981-4f4e-b2b8-63a4a0e6d2fd,65.52.124.113,ORD_001,Opera/8.92.(Windows NT 5.01; hne-IN) Presto/2.9.164 Version/11.00
ORD-0851a2fd-c317-41a9-817d-c4ff02dda6e0,CUST-d548e7e8-5bba-4e0c-bc7f-64261b16205a,williamshailey@example.net,2025-01-29,delivered,debit_card,449.93,USD,web,2026-04-28T11:21:28.459369Z,"27783 Richard Unions Suite 891, New Brian, SC 40140","421 Hall Crossing, Maryland, MP 95388",,79e060e1-2cf7-4f3e-b3ff-96fd92bc6036,94.14.108.142,ORD_004,Mozilla/5.0 (Windows NT 5.2; ga-IE; rv:1.9.1.20) Gecko/3877-12-10 09:21:43.904045 Firefox/3.8
ORD-bd1b60c0-6813-43e2-8085-b8f045bca30c,CUST-1092d36d-1468-4936-9b59-0ed940314b46,daniellemaxwell@example.org,2025-08-02,delivered,paypal,1809.85,USD,mobile_ios,2026-04-28T11:21:28.459676Z,"0701 Edward Oval Suite 623, East Katelynmouth, PR 10385","79236 Sparks Crossroad Suite 973, Lake Michael, AZ 01108",PROMO-9452,b07e8ce5-73a8-4612-b3fa-1719b140cbf3,117.13.58.203,ORD_003,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/29.0.806.0 Safari/531.2"
ORD-2bc794f7-8d1d-452b-8d3a-624a474f9fd8,CUST-68d384c5-9686-4de3-8156-ff2ce8b16c49,mwalls@example.com,2025-03-15,confirmed,bank_transfer,406.63,USD,pos,2026-04-28T11:21:28.459950Z,"688 Katelyn Rapids Suite 718, East Seantown, OR 87289","729 Nathan Via, New Kevinton, FM 07004",PROMO-0052,9636257c-fc96-437e-a7f7-ad4967b5abe3,105.68.212.51,ORD_003,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/5.1)
ORD-b17d274e-e33d-4ae6-868d-716f2a2855a8,CUST-3b387737-db19-4e6a-8f38-d6269fa58d1e,anthonyjimenez@example.net,2024-09-08,delivered,debit_card,1326.54,USD,mobile_ios,2026-04-28T11:21:28.460129Z,"6234 Amanda Extension, Jeremiahburgh, WA 28294","283 Acosta Creek Suite 248, Stacyside, FM 54160",,23bccee6-3f88-467d-8caf-f00929bdfc44,59.204.136.228,ORD_004,Opera/8.81.(X11; Linux i686; et-EE) Presto/2.9.185 Version/11.00
ORD-8dbcf412-1118-49f7-8771-ac7566e4a12d,CUST-92f84221-4247-45fa-82d0-5b7ee7159b7d,ohernandez@example.com,2025-04-29,shipped,gift_card,419.76,USD,mobile_android,2026-04-28T11:21:28.460382Z,"154 Reynolds Station, Wongfort, CT 02718","163 Ryan Orchard, North Ernestfurt, AK 46531",PROMO-0545,d42c5807-e9d8-4b43-a45f-bea8322a2381,64.15.37.34,ORD_003,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/60.0.843.0 Safari/534.0"
ORD-311551b4-69d7-42b1-9b76-fd5cc279b7cc,CUST-7c11ca78-2b91-4096-b2b8-11a984476368,rodrigueztaylor@example.com,2025-09-23,pending,gift_card,2128.54,USD,web,2026-04-28T11:21:28.460675Z,"Unit 2068 Box 9255, DPO AP 20202","9392 Cynthia Glen, Lorishire, MP 30928",,3f685d70-b937-40f3-9d42-0e8006967e4c,185.115.213.143,ORD_002,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/8782-11-17 14:33:57.800598 Firefox/3.8
ORD-407982d8-f0ea-4556-8f03-697d084edbe1,CUST-775cab99-251e-4564-9a02-f34b9cfb859f,tomwilliams@example.com,2024-12-27,delivered,gift_card,153.54,USD,mobile_ios,2026-04-28T11:21:28.460906Z,"PSC 3447, Box 9054, APO AE 65748","19989 Michael Mountains Apt. 669, Thomasbury, KS 34643",,a8308b7e-7f22-497d-9c7d-c8ab02640338,94.109.17.174,ORD_004,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_9; rv:1.9.2.20) Gecko/4941-06-01 08:42:05.956863 Firefox/3.6.1
ORD-73190de9-694c-457d-8125-bc5e2637e8e7,CUST-a345aef7-62a5-409d-ac0f-c184e9e2fff3,kelsey80@example.org,2024-08-20,delivered,bank_transfer,219.97,USD,mobile_ios,2026-04-28T11:21:28.461170Z,"16766 Danielle Spur, Lake Paul, IL 63220","48235 Karen Fords, East Carlafurt, UT 14132",,88ba9a63-6721-46f0-becc-8c463b1a772a,188.234.23.156,ORD_001,"Mozilla/5.0 (iPad; CPU iPad OS 17_1_2 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) FxiOS/14.8r3387.0 Mobile/69J530 Safari/533.0"
ORD-7b886dfe-7c11-4c14-ac88-91207892bfdb,CUST-e5f2c201-31c8-48c4-8527-115b24c3792b,espinozadonald@example.org,2025-03-06,shipped,bank_transfer,64.74,USD,web,2026-04-28T11:21:28.461444Z,"50036 Williams Curve Apt. 124, Peterstad, OH 17178","13725 Norman Union Suite 936, Amyville, VA 12898",,2c82d401-57c0-4537-8c3f-69fbe4de55a2,203.70.37.153,ORD_003,Opera/9.26.(X11; Linux x86_64; ff-SN) Presto/2.9.179 Version/10.00
ORD-45c26318-6808-4f7b-8952-d15d7f32f2fa,CUST-005f7ba0-8436-483d-a84b-c0c8827c2df6,lisacobb@example.net,2025-05-13,delivered,bank_transfer,549.5,USD,web,2026-04-28T11:21:28.461715Z,"7478 Owens Isle Suite 647, Kathleenbury, DC 19410","799 Kevin Streets Suite 193, Gordonbury, MH 21612",,aa242a21-7cc9-44f5-a9e6-b93e0a6e65c7,39.60.68.143,ORD_002,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/534.21.2 (KHTML, like Gecko) Version/5.0.3 Safari/534.21.2"
ORD-99769b29-a4c2-464d-a59c-2c1e5f589502,CUST-GHOST-003,andrewsstephanie@example.net,2024-09-25,confirmed,paypal,741.2,USD,mobile_ios,2026-04-28T11:21:28.462004Z,"USCGC Hogan, FPO AE 49152","81141 Samantha Coves Suite 322, Louismouth, ME 34566",,11cc7d20-3b22-4789-bfbf-190fe8691c48,143.11.34.80,ORD_004,Opera/8.41.(Windows NT 5.1; bn-BD) Presto/2.9.186 Version/10.00
ORD-13f51efc-6aee-4bdc-ac36-adc055015608,CUST-b8f379ec-f54f-4458-ab94-e75a5d211c3b,jose35@example.org,2025-12-17,cancelled,credit_card,769.95,USD,mobile_ios,2026-04-28T11:21:28.462150Z,"822 Sheila Rapid, New Christinetown, MO 56953","86945 Savannah Trafficway Suite 392, Byrdmouth, KS 62992",,ba57b7a9-9cc5-41bd-ac84-e283d8fd0c91,140.235.56.136,ORD_003,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/533.40.3 (KHTML, like Gecko) Version/5.0 Safari/533.40.3"
ORD-333919ea-1a94-4d49-96ce-9dd909464d07,CUST-aa32864c-ae1e-4456-8be3-a18aac57401e,jennifer87@example.org,2026-04-02,shipped,bank_transfer,429.4,USD,mobile_ios,2026-04-28T11:21:28.462426Z,"89527 Rosales Ports Suite 749, Emilymouth, VI 10918","7228 Hatfield Gateway, Erinhaven, MS 97227",,fb954268-aa4b-406b-be54-b9f6d27875cb,91.246.87.242,ORD_002,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4; rv:1.9.3.20) Gecko/8338-12-18 16:19:20.925323 Firefox/3.8
ORD-7e5fe43b-4401-4afc-9bf8-255afb7d8a8b,CUST-89972e48-02d1-4187-b3ff-7b933dd83610,rosalesalexander@example.com,2024-05-29,delivered,credit_card,1874.48,USD,mobile_android,2026-04-28T11:21:28.462636Z,"Unit 9410 Box 3124, DPO AE 39911","44167 Yu Garden Suite 738, Cassandrastad, AL 46100",,72eb3220-d150-4277-910c-a30f25409af9,128.192.49.219,ORD_005,Mozilla/5.0 (compatible; MSIE 5.0; Windows CE; Trident/3.0)
ORD-1d4904fd-4f2d-42da-ad24-4258ee05c43d,CUST-da6920f1-822b-4651-804d-9c11ebec07eb,charlesmoore@example.com,2024-07-28,delivered,credit_card,379.99,USD,web,2026-04-28T11:21:28.462878Z,"18859 Gibbs Trafficway Apt. 079, Wilsonside, ME 55508","PSC 5451, Box 7391, APO AP 71209",,7131faf7-cd06-4956-ad17-bb816d0494cf,156.27.111.75,ORD_002,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/3.0)
ORD-759527e3-1534-4dfc-9c4a-9d9373b15f8b,CUST-15920736-6e6e-4911-97b6-5391a219e8f3,griffinalicia@example.net,2026-04-10,delivered,paypal,1172.49,USD,mobile_android,2026-04-28T11:21:28.463115Z,"129 Alexandria Drive, West Joshuafort, IL 13012","3121 Odonnell Fields, Port Rachel, TX 18075",,037ba823-7b70-46a9-9d24-308d4129631e,52.141.163.82,ORD_002,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.01; Trident/5.1)
ORD-e50245d7-27d9-4fce-9f2d-0e8ebd64a582,CUST-4abb6eae-e00d-4186-8eeb-9237fb89182b,zrowe@example.org,2025-07-15,shipped,gift_card,409.82,USD,web,2026-04-28T11:21:28.463387Z,"015 Mary Corner Suite 979, Pierceview, VA 68448","9223 Brown Fork, Katelynborough, CA 06635",,fc4c203c-d487-4e30-bcfc-2b2ec10af012,176.199.76.248,ORD_005,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_0 rv:4.0; fo-FO) AppleWebKit/533.47.3 (KHTML, like Gecko) Version/5.1 Safari/533.47.3"
